==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log/log_circle_cos_gamma128_lr00003_lrs05_step60', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [11][70/93]	Time 0.110 (0.107)	Data 0.006 (0.009)	Loss 37.9396 (32.3711)	
Epoch: [11][80/93]	Time 0.089 (0.106)	Data 0.001 (0.008)	Loss 34.4516 (32.7024)	
Epoch: [11][90/93]	Time 0.088 (0.104)	Data 0.001 (0.008)	Loss 43.7652 (33.1156)	
Epoch: [12][10/93]	Time 0.125 (0.161)	Data 0.002 (0.061)	Loss 38.8108 (34.5710)	
Epoch: [12][20/93]	Time 0.117 (0.132)	Data 0.002 (0.031)	Loss 38.1982 (35.2879)	
Epoch: [12][30/93]	Time 0.100 (0.123)	Data 0.001 (0.021)	Loss 26.1781 (34.3824)	
Epoch: [12][40/93]	Time 0.097 (0.119)	Data 0.002 (0.016)	Loss 28.7882 (32.9942)	
Epoch: [12][50/93]	Time 0.100 (0.115)	Data 0.003 (0.013)	Loss 36.7682 (33.5058)	
Epoch: [12][60/93]	Time 0.092 (0.113)	Data 0.001 (0.011)	Loss 32.9344 (32.6555)	
Epoch: [12][70/93]	Time 0.096 (0.111)	Data 0.001 (0.010)	Loss 25.4097 (32.5370)	
Epoch: [12][80/93]	Time 0.107 (0.110)	Data 0.002 (0.009)	Loss 28.2353 (32.2386)	
Epoch: [12][90/93]	Time 0.091 (0.109)	Data 0.001 (0.008)	Loss 45.5549 (32.6721)	
Epoch: [13][10/93]	Time 0.093 (0.163)	Data 0.001 (0.054)	Loss 29.4021 (31.4664)	
Epoch: [13][20/93]	Time 0.122 (0.133)	Data 0.002 (0.028)	Loss 36.7505 (32.9695)	
Epoch: [13][30/93]	Time 0.090 (0.119)	Data 0.001 (0.019)	Loss 46.2115 (33.8968)	
Epoch: [13][40/93]	Time 0.103 (0.113)	Data 0.002 (0.015)	Loss 20.8687 (33.6174)	
Epoch: [13][50/93]	Time 0.093 (0.109)	Data 0.001 (0.012)	Loss 33.1324 (33.4421)	
Epoch: [13][60/93]	Time 0.093 (0.107)	Data 0.001 (0.010)	Loss 20.9444 (33.1012)	
Epoch: [13][70/93]	Time 0.105 (0.106)	Data 0.001 (0.009)	Loss 24.1274 (32.7913)	
Epoch: [13][80/93]	Time 0.111 (0.105)	Data 0.002 (0.008)	Loss 27.1347 (32.5684)	
Epoch: [13][90/93]	Time 0.091 (0.105)	Data 0.001 (0.007)	Loss 23.7829 (32.5842)	
Epoch: [14][10/93]	Time 0.108 (0.158)	Data 0.001 (0.053)	Loss 33.7914 (34.3935)	
Epoch: [14][20/93]	Time 0.092 (0.131)	Data 0.001 (0.027)	Loss 23.1108 (34.1685)	
Epoch: [14][30/93]	Time 0.135 (0.127)	Data 0.002 (0.019)	Loss 42.0655 (34.5688)	
Epoch: [14][40/93]	Time 0.103 (0.120)	Data 0.001 (0.014)	Loss 23.6436 (33.9398)	
Epoch: [14][50/93]	Time 0.101 (0.116)	Data 0.001 (0.012)	Loss 31.5066 (33.8151)	
Epoch: [14][60/93]	Time 0.095 (0.113)	Data 0.002 (0.010)	Loss 16.3175 (33.5945)	
Epoch: [14][70/93]	Time 0.093 (0.111)	Data 0.002 (0.009)	Loss 23.5644 (32.9250)	
Epoch: [14][80/93]	Time 0.125 (0.109)	Data 0.002 (0.008)	Loss 31.3907 (32.7936)	
Epoch: [14][90/93]	Time 0.094 (0.109)	Data 0.001 (0.007)	Loss 36.2370 (32.9188)	
