==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0005, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log_circle_cos_gamma80_lr00005_lrs05', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [8][90/93]	Time 0.092 (0.102)	Data 0.001 (0.007)	Loss 28.7208 (33.5134)	
Epoch: [9][10/93]	Time 0.093 (0.152)	Data 0.001 (0.059)	Loss 31.8479 (31.9529)	
Epoch: [9][20/93]	Time 0.097 (0.128)	Data 0.001 (0.031)	Loss 36.2718 (32.7230)	
Epoch: [9][30/93]	Time 0.094 (0.117)	Data 0.001 (0.021)	Loss 37.7783 (32.3897)	
Epoch: [9][40/93]	Time 0.103 (0.113)	Data 0.002 (0.016)	Loss 31.4988 (31.9451)	
Epoch: [9][50/93]	Time 0.088 (0.109)	Data 0.001 (0.013)	Loss 19.7725 (31.4691)	
Epoch: [9][60/93]	Time 0.095 (0.107)	Data 0.002 (0.011)	Loss 27.1892 (31.0646)	
Epoch: [9][70/93]	Time 0.092 (0.105)	Data 0.001 (0.010)	Loss 32.0608 (30.8818)	
Epoch: [9][80/93]	Time 0.096 (0.104)	Data 0.001 (0.009)	Loss 28.1876 (30.9256)	
Epoch: [9][90/93]	Time 0.090 (0.103)	Data 0.001 (0.008)	Loss 21.5977 (30.6581)	
Epoch: [10][10/93]	Time 0.090 (0.154)	Data 0.001 (0.054)	Loss 29.5280 (26.9307)	
Epoch: [10][20/93]	Time 0.096 (0.125)	Data 0.001 (0.028)	Loss 31.3350 (28.1367)	
Epoch: [10][30/93]	Time 0.098 (0.115)	Data 0.002 (0.019)	Loss 28.2404 (28.6606)	
Epoch: [10][40/93]	Time 0.098 (0.110)	Data 0.001 (0.015)	Loss 20.9865 (28.4903)	
Epoch: [10][50/93]	Time 0.093 (0.106)	Data 0.002 (0.012)	Loss 21.7750 (28.5613)	
Epoch: [10][60/93]	Time 0.100 (0.105)	Data 0.003 (0.010)	Loss 28.4787 (28.6366)	
Epoch: [10][70/93]	Time 0.097 (0.103)	Data 0.001 (0.009)	Loss 24.6649 (28.6034)	
Epoch: [10][80/93]	Time 0.103 (0.103)	Data 0.001 (0.008)	Loss 29.4556 (28.5333)	
Epoch: [10][90/93]	Time 0.103 (0.103)	Data 0.001 (0.007)	Loss 24.7018 (28.6406)	
Epoch: [11][10/93]	Time 0.098 (0.163)	Data 0.001 (0.058)	Loss 30.7920 (30.0194)	
Epoch: [11][20/93]	Time 0.091 (0.129)	Data 0.002 (0.030)	Loss 29.4169 (29.4979)	
Epoch: [11][30/93]	Time 0.093 (0.117)	Data 0.002 (0.020)	Loss 34.3619 (29.8573)	
Epoch: [11][40/93]	Time 0.089 (0.113)	Data 0.001 (0.016)	Loss 20.7976 (28.5419)	
Epoch: [11][50/93]	Time 0.093 (0.109)	Data 0.002 (0.013)	Loss 26.1498 (28.6042)	
Epoch: [11][60/93]	Time 0.093 (0.107)	Data 0.001 (0.011)	Loss 30.4085 (28.6543)	
Epoch: [11][70/93]	Time 0.100 (0.106)	Data 0.002 (0.010)	Loss 30.8499 (28.4615)	
Epoch: [11][80/93]	Time 0.094 (0.105)	Data 0.001 (0.009)	Loss 25.1123 (28.3183)	
Epoch: [11][90/93]	Time 0.095 (0.104)	Data 0.001 (0.008)	Loss 33.4836 (28.3437)	
Epoch: [12][10/93]	Time 0.090 (0.142)	Data 0.001 (0.052)	Loss 31.8179 (29.8707)	
Epoch: [12][20/93]	Time 0.119 (0.119)	Data 0.002 (0.027)	Loss 28.0934 (30.0731)	
Epoch: [12][30/93]	Time 0.099 (0.111)	Data 0.001 (0.019)	Loss 37.7517 (28.9618)	
Epoch: [12][40/93]	Time 0.097 (0.108)	Data 0.002 (0.014)	Loss 34.0040 (28.2414)	
Epoch: [12][50/93]	Time 0.090 (0.105)	Data 0.001 (0.012)	Loss 22.2984 (27.9827)	
Epoch: [12][60/93]	Time 0.096 (0.103)	Data 0.002 (0.010)	Loss 22.0879 (27.5057)	
Epoch: [12][70/93]	Time 0.103 (0.103)	Data 0.001 (0.009)	Loss 30.7719 (27.6374)	
Epoch: [12][80/93]	Time 0.125 (0.102)	Data 0.002 (0.008)	Loss 23.8020 (27.6518)	
Epoch: [12][90/93]	Time 0.093 (0.101)	Data 0.001 (0.007)	Loss 33.1008 (27.6680)	
Epoch: [13][10/93]	Time 0.096 (0.161)	Data 0.002 (0.057)	Loss 25.4308 (25.8195)	
Epoch: [13][20/93]	Time 0.101 (0.128)	Data 0.001 (0.029)	Loss 29.6219 (26.8725)	
Epoch: [13][30/93]	Time 0.129 (0.122)	Data 0.002 (0.021)	Loss 31.1959 (27.3885)	
Epoch: [13][40/93]	Time 0.099 (0.117)	Data 0.002 (0.016)	Loss 16.6107 (27.6384)	
Epoch: [13][50/93]	Time 0.100 (0.114)	Data 0.001 (0.013)	Loss 18.9357 (27.3422)	
Epoch: [13][60/93]	Time 0.146 (0.112)	Data 0.002 (0.011)	Loss 24.2371 (27.2894)	
Epoch: [13][70/93]	Time 0.092 (0.110)	Data 0.002 (0.010)	Loss 19.6153 (26.9287)	
Epoch: [13][80/93]	Time 0.122 (0.109)	Data 0.001 (0.009)	Loss 21.8711 (26.6733)	
Epoch: [13][90/93]	Time 0.092 (0.108)	Data 0.001 (0.008)	Loss 23.5650 (26.5211)	
Epoch: [14][10/93]	Time 0.099 (0.139)	Data 0.001 (0.045)	Loss 29.8277 (29.2562)	
Epoch: [14][20/93]	Time 0.091 (0.119)	Data 0.001 (0.023)	Loss 34.6880 (28.7014)	
Epoch: [14][30/93]	Time 0.093 (0.111)	Data 0.001 (0.016)	Loss 28.4098 (27.6610)	
Epoch: [14][40/93]	Time 0.095 (0.108)	Data 0.001 (0.012)	Loss 21.3607 (27.6465)	
Epoch: [14][50/93]	Time 0.105 (0.105)	Data 0.001 (0.010)	Loss 30.8246 (27.0742)	
Epoch: [14][60/93]	Time 0.119 (0.104)	Data 0.001 (0.009)	Loss 20.3347 (26.4854)	
Epoch: [14][70/93]	Time 0.090 (0.103)	Data 0.001 (0.008)	Loss 23.4788 (26.3911)	
Epoch: [14][80/93]	Time 0.090 (0.102)	Data 0.001 (0.007)	Loss 23.6649 (26.3732)	
Epoch: [14][90/93]	Time 0.090 (0.101)	Data 0.001 (0.006)	Loss 27.0292 (26.6057)	
Epoch: [15][10/93]	Time 0.095 (0.158)	Data 0.002 (0.057)	Loss 34.6732 (24.4398)	
Epoch: [15][20/93]	Time 0.098 (0.128)	Data 0.001 (0.029)	Loss 29.8949 (23.8445)	
Epoch: [15][30/93]	Time 0.099 (0.118)	Data 0.001 (0.020)	Loss 19.1403 (24.2075)	
Epoch: [15][40/93]	Time 0.091 (0.113)	Data 0.001 (0.016)	Loss 21.6913 (25.5713)	
Epoch: [15][50/93]	Time 0.097 (0.109)	Data 0.003 (0.013)	Loss 28.0197 (25.7328)	
Epoch: [15][60/93]	Time 0.089 (0.107)	Data 0.001 (0.011)	Loss 19.1861 (25.2716)	
Epoch: [15][70/93]	Time 0.100 (0.105)	Data 0.002 (0.010)	Loss 28.5948 (25.6876)	
Epoch: [15][80/93]	Time 0.094 (0.104)	Data 0.001 (0.009)	Loss 25.8624 (25.9600)	
Epoch: [15][90/93]	Time 0.093 (0.103)	Data 0.001 (0.008)	Loss 27.1999 (25.6004)	
Epoch: [16][10/93]	Time 0.099 (0.159)	Data 0.002 (0.058)	Loss 27.2010 (24.8988)	
Epoch: [16][20/93]	Time 0.095 (0.129)	Data 0.001 (0.030)	Loss 20.3749 (24.2265)	
Epoch: [16][30/93]	Time 0.100 (0.121)	Data 0.002 (0.022)	Loss 31.2529 (24.8586)	
Epoch: [16][40/93]	Time 0.097 (0.116)	Data 0.002 (0.017)	Loss 19.2939 (24.7236)	
Epoch: [16][50/93]	Time 0.093 (0.113)	Data 0.001 (0.014)	Loss 25.8511 (24.8697)	
Epoch: [16][60/93]	Time 0.093 (0.110)	Data 0.001 (0.012)	Loss 32.7541 (25.5436)	
Epoch: [16][70/93]	Time 0.089 (0.108)	Data 0.001 (0.010)	Loss 15.7020 (25.4186)	
Epoch: [16][80/93]	Time 0.103 (0.106)	Data 0.002 (0.009)	Loss 22.7446 (25.0631)	
Epoch: [16][90/93]	Time 0.091 (0.105)	Data 0.001 (0.008)	Loss 21.9210 (25.0828)	
Epoch: [17][10/93]	Time 0.092 (0.157)	Data 0.003 (0.061)	Loss 21.3242 (21.2237)	
